
===========================================================================
HoloNet TEST INFERENCE
===========================================================================
Device:              cuda
Model:               best_model_fft_final.pth
Patch size:          256
Patches/image:      64

Training Z normalization:
  Z mean = 30.59822877
  Z std  = 21.75293980

Number of test images: 5653
Model loaded successfully.

Image | Z_GT | Z_pred | Abs Error | Time(s)
--------------------------------------------------------------------------------
infer_fft_final.py:251: UserWarning: Specified kernel cache directory could not be created! This disables kernel caching. Specified directory is /Home/Users/celachkar/.cache/torch/kernels. This warning will appear only once per process. (Triggered internally at ../aten/src/ATen/native/cuda/jit_utils.cpp:1442.)
  torch.abs(fft)
73749.tiff | 5.099 | 4.285 | 0.814 | 5.6226
75216.tiff | 40.831 | 42.880 | 2.050 | 0.0452
74701.tiff | 14.274 | 18.961 | 4.687 | 0.0452
67859.tiff | 34.328 | 40.691 | 6.363 | 0.0452
69623.tiff | 9.522 | 9.855 | 0.333 | 0.0452
69636.tiff | 10.482 | 10.695 | 0.213 | 0.0453
66689.tiff | 19.812 | 18.587 | 1.225 | 0.0452
70641.tiff | 5.827 | 7.275 | 1.448 | 0.0453
67583.tiff | 13.897 | 14.760 | 0.863 | 0.0452
75772.tiff | 2.684 | 3.604 | 0.920 | 0.0411
70720.tiff | 0.804 | 3.691 | 2.887 | 0.0411
65901.tiff | 47.530 | 49.149 | 1.619 | 0.0411
68456.tiff | 28.533 | 28.793 | 0.260 | 0.0332
68442.tiff | 29.715 | 30.156 | 0.441 | 0.0332
72851.tiff | 21.623 | 21.370 | 0.253 | 0.0332
68230.tiff | 46.934 | 51.565 | 4.631 | 0.0330
75759.tiff | 1.677 | 3.816 | 2.138 | 0.0330
65625.tiff | 26.589 | 26.170 | 0.418 | 0.0330
75223.tiff | 40.344 | 43.004 | 2.661 | 0.0330
68376.tiff | 35.269 | 37.652 | 2.384 | 0.0330
71696.tiff | 7.389 | 5.193 | 2.196 | 0.0330
68788.tiff | 0.882 | 3.749 | 2.867 | 0.0330
73993.tiff | 23.882 | 21.292 | 2.591 | 0.0330
67910.tiff | 38.221 | 44.346 | 6.125 | 0.0330
66351.tiff | 47.790 | 50.392 | 2.602 | 0.0330
65968.tiff | 52.527 | 53.542 | 1.015 | 0.0330
70481.tiff | 19.048 | 20.951 | 1.904 | 0.0330
75347.tiff | 30.383 | 34.603 | 4.220 | 0.0330
67997.tiff | 44.844 | 50.035 | 5.191 | 0.0330
65796.tiff | 39.472 | 41.441 | 1.969 | 0.0330
75292.tiff | 34.964 | 39.516 | 4.552 | 0.0330
74776.tiff | 20.343 | 24.960 | 4.617 | 0.0330
69419.tiff | 5.604 | 5.566 | 0.038 | 0.0330
71612.tiff | 0.862 | 3.783 | 2.921 | 0.0330
71557.tiff | 3.396 | 6.244 | 2.847 | 0.0330
72753.tiff | 13.526 | 13.951 | 0.425 | 0.0330
75720.tiff | 1.290 | 5.997 | 4.707 | 0.0330
65462.tiff | 14.200 | 14.682 | 0.482 | 0.0330
68004.tiff | 45.379 | 50.761 | 5.382 | 0.0330
65102.tiff | 5.604 | 8.281 | 2.677 | 0.0330
73152.tiff | 43.911 | 44.013 | 0.102 | 0.0330
66122.tiff | 64.328 | 65.151 | 0.822 | 0.0330
68762.tiff | 3.002 | 3.964 | 0.962 | 0.0330
73486.tiff | 15.585 | 16.268 | 0.683 | 0.0330
67808.tiff | 30.416 | 36.321 | 5.906 | 0.0330
75305.tiff | 34.009 | 38.461 | 4.451 | 0.0330
70617.tiff | 7.840 | 9.291 | 1.452 | 0.0330
68756.tiff | 3.503 | 4.323 | 0.820 | 0.0330
75100.tiff | 45.925 | 44.761 | 1.164 | 0.0330
65867.tiff | 44.910 | 47.048 | 2.138 | 0.0330
68820.tiff | 1.819 | 4.661 | 2.843 | 0.0330
69025.tiff | 19.108 | 17.192 | 1.916 | 0.0330
68947.tiff | 12.409 | 15.156 | 2.747 | 0.0330
69727.tiff | 17.419 | 16.994 | 0.425 | 0.0330
69124.tiff | 26.939 | 24.186 | 2.754 | 0.0330
75428.tiff | 23.595 | 26.416 | 2.820 | 0.0330
66984.tiff | 8.002 | 6.079 | 1.923 | 0.0330
69171.tiff | 24.473 | 22.216 | 2.257 | 0.0330
70583.tiff | 10.686 | 11.865 | 1.179 | 0.0330
66161.tiff | 63.043 | 63.644 | 0.601 | 0.0330
68520.tiff | 23.180 | 22.521 | 0.658 | 0.0330
65458.tiff | 13.885 | 14.328 | 0.443 | 0.0330
74944.tiff | 34.367 | 40.970 | 6.603 | 0.0330
69289.tiff | 15.396 | 15.021 | 0.375 | 0.0330
74958.tiff | 35.534 | 41.911 | 6.377 | 0.0330
73166.tiff | 42.852 | 43.345 | 0.492 | 0.0330
68419.tiff | 31.687 | 33.449 | 1.762 | 0.0330
76192.tiff | 31.998 | 69.171 | 37.172 | 0.0330
74265.tiff | 22.669 | 18.920 | 3.749 | 0.0330
72024.tiff | 31.380 | 34.885 | 3.505 | 0.0330
71322.tiff | 21.476 | 22.386 | 0.910 | 0.0330
70066.tiff | 43.529 | 44.244 | 0.715 | 0.0330
72542.tiff | 3.995 | 5.279 | 1.284 | 0.0330
76066.tiff | 25.467 | 19.330 | 6.138 | 0.0330
65020.tiff | 1.247 | 2.790 | 1.543 | 0.0330
68205.tiff | 48.995 | 54.074 | 5.079 | 0.0330
74481.tiff | 3.950 | 3.356 | 0.595 | 0.0330
73630.tiff | 4.085 | 5.558 | 1.473 | 0.0330
65851.tiff | 43.639 | 45.955 | 2.316 | 0.0330
